group	kegg.id	kegg.lab	p.geomean	stat.mean	p.val	q.val	set.size	exp1	label	kegg_id
cGAMP	ko04622	RIG-I-like receptor signaling pathway	1.01113509693054e-05	4.35433264483962	1.01113509693054e-05	0.0035389728392569	144	1.01113509693054e-05	ko04622 | RIG-I-like receptor signaling pathway	ko04622
cGAMP	ko05206	MicroRNAs in cancer	6.24353887675353e-05	3.85812108435923	6.24353887675355e-05	0.00803647092256032	353	6.24353887675354e-05	ko05206 | MicroRNAs in cancer	ko05206
cGAMP	ko05165	Human papillomavirus infection	0.000111084372641568	3.70995644911601	0.000111084372641569	0.00803647092256032	401	0.000111084372641568	ko05165 | Human papillomavirus infection	ko05165
cGAMP	ko05167	Kaposi sarcoma-associated herpesvirus infection	0.000118452002860247	3.72008644186968	0.000118452002860247	0.00803647092256032	168	0.000118452002860247	ko05167 | Kaposi sarcoma-associated herpesvirus infection	ko05167
cGAMP	ko04668	TNF signaling pathway	0.000119414467341135	3.7217082843546	0.000119414467341135	0.00803647092256032	159	0.000119414467341135	ko04668 | TNF signaling pathway	ko04668
cGAMP	ko04623	Cytosolic DNA-sensing pathway	0.000137768072958177	3.81053628261327	0.000137768072958177	0.00803647092256032	57	0.000137768072958177	ko04623 | Cytosolic DNA-sensing pathway	ko04623
cGAMP	ko04658	Th1 and Th2 cell differentiation	0.000170522770430718	3.69253474752089	0.000170522770430718	0.0085261385215359	69	0.000170522770430718	ko04658 | Th1 and Th2 cell differentiation	ko04658
cGAMP	ko04657	IL-17 signaling pathway	0.000245800669682784	3.52764080647329	0.000245800669682783	0.00985353734201601	155	0.000245800669682784	ko04657 | IL-17 signaling pathway	ko04657
cGAMP	ko04064	NF-kappa B signaling pathway	0.000284917603700475	3.49149840746543	0.000284917603700475	0.00985353734201601	144	0.000284917603700475	ko04064 | NF-kappa B signaling pathway	ko04064
cGAMP	ko04621	NOD-like receptor signaling pathway	0.000294312329698809	3.45417919466619	0.000294312329698808	0.00985353734201601	361	0.000294312329698809	ko04621 | NOD-like receptor signaling pathway	ko04621
cGAMP	ko05160	Hepatitis C	0.000309682602177646	3.46870264102902	0.000309682602177646	0.00985353734201601	143	0.000309682602177646	ko05160 | Hepatitis C	ko05160
cGAMP	ko04512	ECM-receptor interaction	0.000371651115679445	3.39998791847615	0.000371651115679445	0.0108398242073172	206	0.000371651115679445	ko04512 | ECM-receptor interaction	ko04512
cGAMP	ko04976	Bile secretion	0.000536338066835952	3.31581784169752	0.00053633806683595	0.0144034880096136	118	0.000536338066835952	ko04976 | Bile secretion	ko04976
cGAMP	ko03030	DNA replication	0.000600291064899238	3.33993538675285	0.000600291064899237	0.0144034880096136	54	0.000600291064899237	ko03030 | DNA replication	ko03030
cGAMP	ko04974	Protein digestion and absorption	0.000617292343269154	3.26329317540505	0.000617292343269154	0.0144034880096136	145	0.000617292343269154	ko04974 | Protein digestion and absorption	ko04974
cApUp	ko04622	RIG-I-like receptor signaling pathway	9.21505047245825e-05	3.80825536810288	9.21505047245827e-05	0.0170444153530771	144	9.21505047245826e-05	ko04622 | RIG-I-like receptor signaling pathway	ko04622
cApUp	ko04623	Cytosolic DNA-sensing pathway	9.73966591604402e-05	3.93492689321308	9.73966591604405e-05	0.0170444153530771	57	9.73966591604402e-05	ko04623 | Cytosolic DNA-sensing pathway	ko04623
cGAMP	ko04380	Osteoclast differentiation	0.000822446880184488	3.17935465389609	0.000822446880184488	0.0171799217438432	151	0.000822446880184488	ko04380 | Osteoclast differentiation	ko04380
cGAMP	ko04620	Toll-like receptor signaling pathway	0.000834453341843813	3.17971014318548	0.000834453341843811	0.0171799217438432	137	0.000834453341843813	ko04620 | Toll-like receptor signaling pathway	ko04620
cApUp	ko04621	NOD-like receptor signaling pathway	0.000245306401787587	3.50501539230158	0.000245306401787586	0.0286190802085517	361	0.000245306401787587	ko04621 | NOD-like receptor signaling pathway	ko04621
cGAMP	ko05169	Epstein-Barr virus infection	0.00185992422447794	2.91623830565784	0.00185992422447793	0.0361651932537376	246	0.00185992422447794	ko05169 | Epstein-Barr virus infection	ko05169
